modulo,accion,jefe,admin,cajero,mesero,cocina
operacion.pedidos,ver,true,true,false,true,false
operacion.pedido_abierto,ver,true,true,false,true,false
operacion.pedido_abierto,agregar_producto,true,true,false,true,false
operacion.pedido_abierto,enviar_comanda,true,true,false,true,false
operacion.pedido_abierto,mover_mesa,true,true,false,true,false
operacion.pedido_abierto,prefactura,true,true,false,true,false
operacion.pedido_abierto,cobrar,true,true,false,false,false
operacion.kds,ver,true,true,false,false,true
operacion.kds,cambiar_estado_item,true,true,false,false,true
operacion.kds,imprimir_comanda,true,true,false,false,true
operacion.turno,ver,true,true,true,true,true
operacion.turno,iniciar,true,true,true,true,true
operacion.turno,cerrar,true,true,true,true,true
caja.venta_rapida,ver,true,true,true,false,false
caja.venta_rapida,agregar_producto,true,true,true,false,false
caja.venta_rapida,cobrar,true,true,true,false,false
caja.pos,ver,true,true,true,false,false
caja.pos,seleccionar_mesa,true,true,true,false,false
caja.pos,editar_cuenta,true,true,true,false,false
caja.pos,eliminar_item_preparado,true,true,true,false,false
caja.pos,cobrar,true,true,true,false,false
caja.apertura_cierre,ver,true,true,true,false,false
caja.apertura_cierre,abrir_caja,true,true,true,false,false
caja.apertura_cierre,registrar_ingreso,true,true,true,false,false
caja.apertura_cierre,registrar_egreso,true,true,true,false,false
caja.apertura_cierre,cerrar_caja,true,true,true,false,false
caja.historial_caja,ver,true,true,true,false,false
caja.historial_ventas,ver,true,true,true,false,false
caja.historial_ventas,reimprimir,true,true,false,false,false
caja.historial_ventas,anular,true,true,false,false,false
caja.facturacion,ver,true,true,true,false,false
caja.facturacion,reimprimir,true,true,true,false,false
caja.facturacion,enviar_correo,true,true,true,false,false
caja.facturacion,reintentar_envio,true,true,true,false,false
caja.facturacion,generar_nota_credito,true,true,true,false,false
caja.devoluciones,ver,true,true,false,false,false
caja.devoluciones,solicitar,true,true,true,false,false
caja.devoluciones,autorizar,true,true,false,false,false
productos_menu.productos,ver,true,true,false,false,false
productos_menu.productos,crear,true,true,false,false,false
productos_menu.productos,editar,true,true,false,false,false
productos_menu.productos,eliminar,true,false,false,false,false
productos_menu.categorias,ver,true,true,false,false,false
productos_menu.categorias,crear,true,true,false,false,false
productos_menu.categorias,editar,true,true,false,false,false
productos_menu.categorias,eliminar,true,true,false,false,false
productos_menu.combos,ver,true,true,false,false,false
productos_menu.combos,crear,true,true,false,false,false
productos_menu.combos,editar,true,true,false,false,false
productos_menu.combos,eliminar,true,true,false,false,false
productos_menu.recetas,ver,true,true,false,false,false
productos_menu.recetas,crear,true,true,false,false,false
productos_menu.recetas,editar,true,true,false,false,false
productos_menu.recetas,eliminar,true,true,false,false,false
productos_menu.promociones,ver,true,true,false,false,false
productos_menu.promociones,crear,true,true,false,false,false
productos_menu.promociones,editar,true,true,false,false,false
productos_menu.promociones,eliminar,true,true,false,false,false
inventario.existencias,ver,true,true,false,false,false
inventario.existencias,ajustar,true,true,false,false,false
inventario.insumos,ver,true,true,false,false,false
inventario.insumos,crear,true,true,false,false,false
inventario.insumos,editar,true,true,false,false,false
inventario.insumos,eliminar,true,true,false,false,false
inventario.historial_movimientos,ver,true,true,false,false,false
inventario.conteos,ver,true,true,false,false,false
inventario.conteos,crear,true,true,false,false,false
inventario.perdidas,ver,true,true,false,false,false
inventario.perdidas,registrar,true,true,false,false,false
inventario.vencimientos,ver,true,true,false,false,false
compras.registrar_compra,ver,true,true,false,false,false
compras.registrar_compra,crear,true,true,false,false,false
compras.historial_compras,ver,true,true,false,false,false
compras.historial_compras,editar,true,true,false,false,false
compras.historial_compras,eliminar,true,true,false,false,false
compras.historial_compras,marcar_pagada,true,true,false,false,false
compras.proveedores,ver,true,true,false,false,false
compras.proveedores,crear,true,true,false,false,false
compras.proveedores,editar,true,true,false,false,false
compras.proveedores,eliminar,true,true,false,false,false
clientes,ver,true,true,true,false,false
clientes,crear,true,true,true,false,false
clientes,editar,true,true,false,false,false
clientes,eliminar,true,true,false,false,false
personal.empleados,ver,true,true,false,false,false
personal.empleados,crear,true,true,false,false,false
personal.empleados,editar,true,true,false,false,false
personal.empleados,eliminar,true,false,false,false,false
personal.turnos,ver,true,true,false,false,false
personal.turnos,crear,true,true,false,false,false
personal.turnos,editar,true,true,false,false,false
personal.turnos,eliminar,true,false,false,false,false
gastos.registrar_gasto,ver,true,true,false,false,false
gastos.registrar_gasto,crear,true,true,false,false,false
gastos.historial_gastos,ver,true,true,false,false,false
gastos.historial_gastos,editar,true,true,false,false,false
gastos.historial_gastos,eliminar,true,false,false,false,false
restaurante.info_general,ver,true,true,false,false,false
